instance,solver,metric
79,MultiStartGreedyGraphColoringHeuristic,39
79,DSATUR,36
80,NaiveGreedyGraphColoringHeuristic,41
80,MultiStartGreedyGraphColoringHeuristic,41
80,DSATUR,37
81,NaiveGreedyGraphColoringHeuristic,41
81,MultiStartGreedyGraphColoringHeuristic,42
81,DSATUR,37
82,NaiveGreedyGraphColoringHeuristic,43
82,MultiStartGreedyGraphColoringHeuristic,41
82,DSATUR,39
83,NaiveGreedyGraphColoringHeuristic,41
83,MultiStartGreedyGraphColoringHeuristic,40
83,DSATUR,37
84,NaiveGreedyGraphColoringHeuristic,42
84,MultiStartGreedyGraphColoringHeuristic,41
84,DSATUR,37
85,NaiveGreedyGraphColoringHeuristic,41
85,MultiStartGreedyGraphColoringHeuristic,41
85,DSATUR,37
86,NaiveGreedyGraphColoringHeuristic,43
86,MultiStartGreedyGraphColoringHeuristic,42
86,DSATUR,38
87,NaiveGreedyGraphColoringHeuristic,44
87,MultiStartGreedyGraphColoringHeuristic,42
87,DSATUR,37
88,NaiveGreedyGraphColoringHeuristic,42
88,MultiStartGreedyGraphColoringHeuristic,42
88,DSATUR,37
89,NaiveGreedyGraphColoringHeuristic,44
89,MultiStartGreedyGraphColoringHeuristic,42
89,DSATUR,37
90,NaiveGreedyGraphColoringHeuristic,42
90,MultiStartGreedyGraphColoringHeuristic,41
90,DSATUR,37
91,NaiveGreedyGraphColoringHeuristic,42
91,MultiStartGreedyGraphColoringHeuristic,41
91,DSATUR,38
92,NaiveGreedyGraphColoringHeuristic,44
92,MultiStartGreedyGraphColoringHeuristic,41
92,DSATUR,37
93,NaiveGreedyGraphColoringHeuristic,42
93,MultiStartGreedyGraphColoringHeuristic,41
93,DSATUR,38
94,NaiveGreedyGraphColoringHeuristic,44
94,MultiStartGreedyGraphColoringHeuristic,41
94,DSATUR,36
95,NaiveGreedyGraphColoringHeuristic,43
95,MultiStartGreedyGraphColoringHeuristic,41
95,DSATUR,36
96,NaiveGreedyGraphColoringHeuristic,41
96,MultiStartGreedyGraphColoringHeuristic,41
96,DSATUR,37
97,NaiveGreedyGraphColoringHeuristic,42
97,MultiStartGreedyGraphColoringHeuristic,41
97,DSATUR,38
98,NaiveGreedyGraphColoringHeuristic,42
98,MultiStartGreedyGraphColoringHeuristic,41
98,DSATUR,37
99,NaiveGreedyGraphColoringHeuristic,45
99,MultiStartGreedyGraphColoringHeuristic,42
99,DSATUR,38
100,NaiveGreedyGraphColoringHeuristic,43
100,MultiStartGreedyGraphColoringHeuristic,42
100,DSATUR,37
