instance,solver,metric
82,MultiStartGreedyGraphColoringHeuristic,3
82,DSATUR,2
83,NaiveGreedyGraphColoringHeuristic,2
83,MultiStartGreedyGraphColoringHeuristic,3
83,DSATUR,2
84,NaiveGreedyGraphColoringHeuristic,2
84,MultiStartGreedyGraphColoringHeuristic,3
84,DSATUR,2
85,NaiveGreedyGraphColoringHeuristic,2
85,MultiStartGreedyGraphColoringHeuristic,3
85,DSATUR,2
86,NaiveGreedyGraphColoringHeuristic,2
86,MultiStartGreedyGraphColoringHeuristic,3
86,DSATUR,2
87,NaiveGreedyGraphColoringHeuristic,3
87,MultiStartGreedyGraphColoringHeuristic,3
87,DSATUR,3
88,NaiveGreedyGraphColoringHeuristic,2
88,MultiStartGreedyGraphColoringHeuristic,3
88,DSATUR,2
89,NaiveGreedyGraphColoringHeuristic,2
89,MultiStartGreedyGraphColoringHeuristic,3
89,DSATUR,2
90,NaiveGreedyGraphColoringHeuristic,3
90,MultiStartGreedyGraphColoringHeuristic,3
90,DSATUR,3
91,NaiveGreedyGraphColoringHeuristic,3
91,MultiStartGreedyGraphColoringHeuristic,3
91,DSATUR,3
92,NaiveGreedyGraphColoringHeuristic,3
92,MultiStartGreedyGraphColoringHeuristic,3
92,DSATUR,3
93,NaiveGreedyGraphColoringHeuristic,2
93,MultiStartGreedyGraphColoringHeuristic,3
93,DSATUR,2
94,NaiveGreedyGraphColoringHeuristic,3
94,MultiStartGreedyGraphColoringHeuristic,3
94,DSATUR,3
95,NaiveGreedyGraphColoringHeuristic,3
95,MultiStartGreedyGraphColoringHeuristic,3
95,DSATUR,3
96,NaiveGreedyGraphColoringHeuristic,3
96,MultiStartGreedyGraphColoringHeuristic,3
96,DSATUR,3
97,NaiveGreedyGraphColoringHeuristic,3
97,MultiStartGreedyGraphColoringHeuristic,3
97,DSATUR,3
98,NaiveGreedyGraphColoringHeuristic,3
98,MultiStartGreedyGraphColoringHeuristic,3
98,DSATUR,3
99,NaiveGreedyGraphColoringHeuristic,3
99,MultiStartGreedyGraphColoringHeuristic,3
99,DSATUR,3
100,NaiveGreedyGraphColoringHeuristic,3
100,MultiStartGreedyGraphColoringHeuristic,3
100,DSATUR,3
